Name,Winery,Region,Vintage,Rating,RatingsCount,Price
Impérial Rosé Brut Champagne ,Moët & Chandon,"Champagne, France",N/A,4.1,29440,2100
Franciacorta Cuvée Prestige ,Ca' del Bosco,"Franciacorta, Italy",N/A,4.1,25969,1032
Royale Réserve Brut Champagne ,Philipponnat,"Champagne, France",N/A,4.1,17219,1900
Prestige Rosé Brut Champagne ,Taittinger,"Champagne, France",N/A,4.1,9636,3200
Brut Grand Rosé Champagne ,Gosset,"Champagne, France",N/A,4.1,4840,3200
Ultra Brut Champagne (Brut Nature) ,Laurent-Perrier,"Champagne, France",N/A,4.1,3680,3240
Pure Extra Brut Champagne ,Pol Roger,"Champagne, France",N/A,4.1,3101,2580
Rich Demi-Sec Champagne (Extra Cuvée de Réserve) ,Pol Roger,"Champagne, France",N/A,4.1,2294,2320
Rosé de Saignée Brut Champagne Premier Cru ,Geoffroy,"Champagne Premier Cru, France",N/A,4.1,2156,2650
Moscato ,Gemma di Luna,"Piemonte, Italy",N/A,4.1,2075,300
Brut Rosé Champagne Premier Cru ,Marc Hébrart,"Champagne Premier Cru, France",N/A,4.1,1594,1785
Cartizze Vigna La Rivetta 2022,Villa Sandi,"Conegliano-Valdobbiadene Prosecco Superiore, Italy",2022,4.1,1425,2000
Réserve Brut Champagne ,Champagne Telmont,"Champagne, France",N/A,4.1,1147,2200
Bricco Quaglia Moscato d'Asti 2020,La Spinetta,"Moscato d'Asti, Italy",2020,4.1,1032,1020
Blanc de Noirs Brut Champagne ,Brigitte Delmotte,"Champagne, France",N/A,4.1,922,2999
Tradition Millésimé Brut Champagne 2007,Charles de Cazanove,"Champagne, France",2007,4.1,767,1999
Blanc de Blancs Brut Champagne Grand Cru 'Chouilly' 2008,Lenoble,"Champagne Grand Cru 'Chouilly', France",2008,4.1,523,5500
Moscato d'Asti 2022,Vietti,"Moscato d'Asti, Italy",2022,4.1,470,408
Réserve Rosé Champagne ,Champagne Telmont,"Champagne, France",N/A,4.1,313,2750
Biancospino Moscato d'Asti 2022,La Spinetta,"Moscato d'Asti, Italy",2022,4.1,191,1020
Cava Gran Reserva Barrica 2008,Agusti Torello Mata,"Cava, Spain",2008,4.1,184,2300
Lumine Moscato d'Asti 2021,Ca' d'Gal,"Moscato d'Asti, Italy",2021,4.1,133,950
Brut 2015,Windsor Great Park Vineyard,"England, United Kingdom",2015,4.1,118,3299
Franciacorta Extra Brut 2015,Ferghettina,"Franciacorta, Italy",2015,4.1,77,1960
Cumières Brut Champagne 2005,Duval-Leroy,"Champagne, France",2005,4.1,64,3900
De Lux Brut ,Cricova,"Cricova, Moldova",N/A,4.1,40,1500
Moscato d'Asti Nivole 2006,Michele Chiarlo,"Moscato d'Asti, Italy",2006,4.1,27,890
Brut Champagne Grand Cru 'Avize' ,Varnier Fannière,"Champagne Grand Cru 'Avize', France",N/A,4.0,864,2700
Reserve Brut ,Harrow & Hope,"England, United Kingdom",N/A,4.0,634,2499
Moscato d'Asti ,Scanavino,"Moscato d'Asti, Italy",N/A,4.0,584,780
