"110年07月 1301 台塑             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/07/01","10,200,328","1,057,549,905","102.50","105.00","102.50","104.00","+1.00","3,333",
"110/07/02","14,812,128","1,573,813,433","105.00","108.00","104.00","105.00","+1.00","6,009",
"110/07/05","12,978,815","1,388,347,779","106.50","108.00","106.00","107.50","+2.50","5,981",
"110/07/06","6,863,318","729,280,401","108.00","108.00","105.50","106.00","-1.50","3,574",
"110/07/07","6,959,097","729,506,210","105.00","106.00","104.00","105.00","-1.00","3,843",
"110/07/08","7,456,612","772,850,492","105.50","105.50","103.00","103.50","-1.50","3,600",
"110/07/09","13,918,270","1,423,414,372","102.50","104.00","101.00","103.50"," 0.00","6,137",
"110/07/12","6,967,892","722,374,448","105.00","105.50","102.50","103.00","-0.50","3,287",
"110/07/13","7,887,928","808,897,630","103.50","104.00","101.50","103.00"," 0.00","3,248",
"110/07/14","6,474,931","666,990,960","103.00","104.00","102.00","103.50","+0.50","2,663",
"110/07/15","4,740,102","490,379,097","103.50","104.50","102.50","104.00","+0.50","1,991",
"110/07/16","5,171,743","536,879,678","103.50","104.50","103.00","104.50","+0.50","2,418",
"110/07/19","6,312,547","646,317,747","103.50","104.00","101.50","102.50","-2.00","2,775",
"110/07/20","5,934,019","602,642,575","101.50","102.50","101.00","101.50","-1.00","3,353",
"110/07/21","10,778,710","1,079,996,022","101.50","102.00","99.70","100.00","-1.50","6,233",
"110/07/22","7,187,131","726,425,977","101.00","102.00","100.00","102.00","+2.00","2,437",
"110/07/23","3,280,515","333,591,478","101.50","102.50","101.00","101.50","-0.50","1,567",
"110/07/26","8,328,077","831,236,218","101.00","101.50","99.30","99.40","-2.10","5,108",
"110/07/27","5,857,413","582,663,724","99.30","100.00","99.10","99.70","+0.30","3,055",
"110/07/28","7,862,482","782,402,393","99.70","100.50","98.50","100.00","+0.30","3,506",
"110/07/29","8,045,514","813,095,186","99.50","102.00","99.50","102.00","+2.00","3,097",
"110/07/30","13,082,136","1,307,971,623","100.00","101.00","99.70","99.80","X0.00","3,908",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

