Name,Winery,Region,Vintage,Rating,RatingsCount,Price
Pauillac (Grand Cru Classé) 2000,Château Lynch-Bages,"Pauillac, France",2000,4.5,3752,7982
Profile 2017,Merryvale,"Napa Valley, United States",2017,4.5,2665,7650
Ribera Del Duero Reserva Premium 6 Anos 2010,Bodegas Valduero,"Ribera del Duero, Spain",2010,4.5,2484,3647
Pauillac (Grand Cru Classé) 1996,Château Lynch-Bages,"Pauillac, France",1996,4.5,2429,6698
Ermitage Le Méal 2018,M. Chapoutier,"Hermitage, France",2018,4.5,2099,8900
Napa Valley Cabernet Sauvignon 2016,Silver Oak,"Napa Valley, United States",2016,4.5,1907,7430
Saint-Julien (Grand Cru Classé) 2000,Château Léoville Poyferré,"Saint-Julien, France",2000,4.5,1795,6698
Aconcagua Valley 2015,Sena,"Aconcagua Valley, Chile",2015,4.5,1739,5300
Pauillac (Grand Cru Classé) 2015,Château Pontet-Canet,"Pauillac, France",2015,4.5,1738,3684
Cos d'Estournel 1995,Cos d'Estournel,"Saint-Estèphe, France",1995,4.5,1663,7916
Pauillac (Grand Cru Classé) 1990,Château Pichon Longueville Comtesse de Lalande,"Pauillac, France",1990,4.5,1378,6344
Pauillac (Grand Cru Classé) 1996,Château Pichon Baron,"Pauillac, France",1996,4.5,1371,7949
Aconcagua Valley 2016,Sena,"Aconcagua Valley, Chile",2016,4.5,1352,4700
Pauillac (Grand Cru Classé) 1995,Château Pichon Baron,"Pauillac, France",1995,4.5,1300,6427
La Piu Belle 2011,Viña Vik Winery,"Cachapoal Valley, Chile",2011,4.5,1294,2500
Brunello di Montalcino 2011,Biondi-Santi,"Brunello di Montalcino, Italy",2011,4.5,1256,6600
Aconcagua Valley 2011,Sena,"Aconcagua Valley, Chile",2011,4.5,1244,4500
Saint-Julien (Grand Cru Classé) 1996,Château Léoville Las Cases,"Saint-Julien, France",1996,4.5,1175,6958
Saint-Julien (Grand Cru Classé) 1998,Château Léoville Las Cases,"Saint-Julien, France",1998,4.5,1072,6935
Grand Vin de Château Palmer (Grand Cru Classé) 2002,Chateau Palmer,"Margaux, France",2002,4.5,995,9539
Saint-Julien (Grand Cru Classé) 2001,Château Léoville Las Cases,"Saint-Julien, France",2001,4.5,970,7104
Aconcagua Valley 2018,Sena,"Aconcagua Valley, Chile",2018,4.5,966,4500
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2015,Château Troplong Mondot,"Saint-Émilion Grand Cru, France",2015,4.5,957,4900
Cornas 'Reynard' 2017,Thierry Allemand,"Cornas, France",2017,4.5,951,9619
Saint-Julien (Grand Cru Classé) 1999,Château Léoville Las Cases,"Saint-Julien, France",1999,4.5,898,7611
Pauillac (Grand Cru Classé) 1985,Château Lynch-Bages,"Pauillac, France",1985,4.5,890,9945
Saint-Julien (Grand Cru Classé) 2003,Château Beychevelle,"Saint-Julien, France",2003,4.5,885,4465
Pauillac (Grand Cru Classé) 1988,Château Pichon Longueville Comtesse de Lalande,"Pauillac, France",1988,4.5,807,6698
Pauillac (Grand Cru Classé) 1986,Château Lynch-Bages,"Pauillac, France",1986,4.5,803,6140
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2010,Château Troplong Mondot,"Saint-Émilion Grand Cru, France",2010,4.5,799,5935
Almaviva 2019,Almaviva,"Puente Alto, Chile",2019,4.5,786,5116
Pavillon Rouge du Château Margaux 1996,Château Margaux,"Margaux, France",1996,4.5,760,6140
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2009,Château Troplong Mondot,"Saint-Émilion Grand Cru, France",2009,4.5,752,7610
Cabernet Sauvignon Reserve 2016,Groth,"Oakville, United States",2016,4.5,745,6200
Amon-Ra Shiraz 2005,Glaetzer,"Barossa Valley, Australia",2005,4.5,710,3500
Relentless 2012,Shafer,"Napa Valley, United States",2012,4.5,706,3479
Château Haut-Bailly (Cru Classé de Graves) 2009,Château Haut-Bailly,"Pessac-Léognan, France",2009,4.5,700,7949
Barolo Monprivato 2011,Mascarello Giuseppe e Figlio,"Barolo, Italy",2011,4.5,691,7572
Châteauneuf-du-Pape Réserve des Deux Frères 2006,Pierre Usseglio,"Châteauneuf-du-Pape, France",2006,4.5,652,5116
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2010,Château Canon,"Saint-Émilion Grand Cru, France",2010,4.5,643,6400
Carruades de Lafite Pauillac 1996,Château Lafite Rothschild,"Pauillac, France",1996,4.5,633,9005
Pessac-Léognan (Grand Cru Classé de Graves) 2008,Château La Mission Haut-Brion,"Pessac-Léognan, France",2008,4.5,631,8694
Malbec Estrella 1997,Weinert,"Lujan de Cuyo, Argentina",1997,4.5,621,4500
Select Shiraz 2001,Saxenburg,"Stellenbosch, South Africa",2001,4.5,590,3500
Bougainville Petite Sirah 2013,Santa Rita,"Maipo Valley, Chile",2013,4.5,541,2860
Saint-Julien (Grand Cru Classé) 2014,Château Ducru-Beaucaillou,"Saint-Julien, France",2014,4.5,540,7560
Barbaresco 2018,Gaja,"Barbaresco, Italy",2018,4.5,500,6549
Saint-Estèphe (Grand Cru Classé) 1990,Château Calon-Ségur,"Saint-Estèphe, France",1990,4.5,495,8119
Saumur Champigny 2012,Clos Rougeard,"Saumur-Champigny, France",2012,4.5,493,8186
Pessac-Léognan (Grand Cru Classé de Graves) 1990,Château Pape Clément,"Pessac-Léognan, France",1990,4.5,474,7713
Folly Syrah 2005,Montes,"Colchagua Valley, Chile",2005,4.5,464,3200
Pauillac (Grand Cru Classé) 1988,Château Pichon Baron,"Pauillac, France",1988,4.5,446,7273
Pauillac (Grand Cru Classé) 2016,Château Pichon Longueville Comtesse de Lalande,"Pauillac, France",2016,4.5,437,8300
Astralis 2006,Clarendon Hills,"McLaren Vale, Australia",2006,4.5,433,9005
Pomerol 1995,Château La Fleur-Pétrus,"Pomerol, France",1995,4.5,421,9414
Pomerol 1995,Château La Conseillante,"Pomerol, France",1995,4.5,404,7163
FAY Cabernet Sauvignon 2006,Stag's Leap Wine Cellars,"Napa Valley, United States",2006,4.5,389,5400
Pomerol 2003,Château La Fleur-Pétrus,"Pomerol, France",2003,4.5,376,7163
Three Palms Vineyard Merlot 2018,Duckhorn,"Napa Valley, United States",2018,4.5,372,8800
