Name,Winery,Region,Vintage,Rating,RatingsCount,Price
Sauternes (Premier Grand Cru Classé) 2020,Château Suduiraut,"Sauternes, France",2020,4.2,132,2470
Sauternes (Premier Grand Cru Classé) 2018,Château Suduiraut,"Sauternes, France",2018,4.2,120,1220
Sauternes (Premier Grand Cru Classé) 2019,Château Suduiraut,"Sauternes, France",2019,4.2,109,1170
Sauternes (Grand Cru Classé) 2006,Château de Malle,"Sauternes, France",2006,4.2,107,1810
Tokaji Aszu 5 Puttonyos 1988,,"Tokaj, Hungary",1988,4.2,80,6732
Tokaji Aszú 5 Puttonyos 2007,Béres,"Tokaj, Hungary",2007,4.2,57,3600
Sauternes (Grand Cru Classé) 1986,Château Doisy-Vedrines,"Sauternes, France",1986,4.2,54,2047
Eiswein 2004,Wilhelm Bergmann,"Rheinhessen, Germany",2004,4.2,42,1350
Sauternes (Premier Grand Cru Classé) 1997,Clos Haut-Peyraguey,"Sauternes, France",1997,4.2,35,819
Tokaji Aszú 3 Puttonyos 1988,Grand Tokaj,"Tokaj, Hungary",1988,4.2,34,6089
Tokaji Furmint Sweet 2013,Gróf Degenfeld,"Tokaj, Hungary",2013,4.2,30,980
Cadillac Grains d'Or 1999,Château Memoires,"Cadillac, France",1999,4.2,30,716
Monbazillac 1968,Château Monbazillac,"Monbazillac, France",1968,4.1,1719,8119
Pomino Vin Santo 2002,Castello Pomino,"Pomino, Italy",2002,4.1,805,2100
Apiliotis 2014,Domaine Sigalas,"Santorini, Greece",2014,4.1,402,1890
Muscat Of Alexandria Late Harvest Artemisa 2009,Aromo,"Itata Valley, Chile",2009,4.1,326,990
11 Filari Primitivo di Manduria Dolce Naturale 2011,San Marzano,"Primitivo di Manduria, Italy",2011,4.1,225,617
Castello di Brolio Vin Santo del Chianti Classico 2008,Ricasoli,"Vin Santo del Chianti Classico, Italy",2008,4.1,175,2200
Vin Santo del Chianti 2002,Donatella Cinelli Colombini,"Vin Santo del Chianti, Italy",2002,4.1,174,1840
Tokaji Aszú 5 Puttonyos 2003,Dobogó,"Tokaj, Hungary",2003,4.1,155,2320
Clos de Sainte Catherine 2009,Domaine des Baumard,"Côteaux du Layon, France",2009,4.1,80,1950
Vinsanto 2015,Domaine Sigalas,"Santorini, Greece",2015,4.1,50,2250
Sauternes (Premier Grand Cru Classé) 1985,Château La Tour Blanche,"Sauternes, France",1985,4.1,48,2661
Gemma del Sole Greco Bianco Passito 2013,Ippolito 1845,"Calabria, Italy",2013,4.1,43,1450
Saperavi - Muscat Semi-Sweet 2009,Kakhetian Traditional Winemaking,"Kakheti, Georgia",2009,4.1,36,2600
Late Harvest 2008,Royal Tokaji,"Tokaj, Hungary",2008,4.0,3788,1240
Sauternes 2003,Château Liot,"Sauternes, France",2003,4.0,1273,1637
Réserve Sauternes 2014,Mouton Cadet,"Sauternes, France",2014,4.0,850,2450
Éclat Botrytis Sémillon 2020,Valdivieso,"Curico Valley, Chile",2020,4.0,203,1080
Eiswein 2005,Rudolf Müller,"Rheinhessen, Germany",2005,4.0,196,1380
Late Harvest Zinfandel 2005,Dashe,"Dry Creek Valley, United States",2005,4.0,190,3600
Late Harvest Gewürztraminer 2008,Montes,"Curico Valley, Chile",2008,4.0,135,800
Sauternes (Grand Cru Classé) 2003,Château de Myrat,"Sauternes, France",2003,4.0,120,1023
Tokaji Aszú 3 Puttonyos 2004,Hétszölö,"Tokaj, Hungary",2004,4.0,117,2780
Riesling Vendange Tardive 2011,Hugel,"Alsace, France",2011,4.0,116,1530
Éclat Botrytis Sémillon 2013,Valdivieso,"Curico Valley, Chile",2013,4.0,84,1080
13 Below Zero Riesling 2010,13th Street,"Niagara Peninsula, Canada",2010,4.0,50,1380
